"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5","coef_h1.76_OPT","se_h1.76_OPT","pval_h1.76_OPT","n_l_h1.76_OPT","n_r_h1.76_OPT"
"dist_maritime_edge",296.0232,100465.1582,0.2966,3,8,-37.2793,329.2916,0.9975,9,17,35.0042,129.1875,0.6268,19,26,87.3626,95.7968,0.435,37,26
"nearest_maritime_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_maritime_25km_edge",0,0,NA,3,8,0.1536,0.6696,0.4114,9,17,0.0091,0.3969,0.5781,19,26,-0.0092,0.1355,0.611,37,26
"n_maritime_50km_edge",0,0,NA,3,8,0.1536,0.6696,0.4114,9,17,0.0329,0.406,0.8695,19,26,-0.0089,0.1401,0.4595,37,26
"n_maritime_100km_edge",0,0,NA,3,8,0.3287,2.1682,0.3673,9,17,-0.0451,0.5934,0.4263,19,26,-0.1259,0.3835,0.5995,37,26
"dist_petrochem_edge",-1168.7197,195037.2555,0.3702,3,8,-371.038,990.6356,0.5464,9,17,-151.9064,437.6275,0.22,19,26,-189.5321,342.6246,0.583,37,26
"nearest_petrochem_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_petrochem_25km_edge",0,0,NA,3,8,0,0,NA,9,17,0.0569,0.1512,0.3303,19,26,0.1228,0.1539,0.4125,37,26
"n_petrochem_50km_edge",0.2541,0.2919,0.3406,3,8,0.4271,0.7889,0.1286,9,17,0.1914,0.4429,0.118,19,26,0.1305,0.3176,0.243,37,26
"n_petrochem_100km_edge",0.8016,0.2949,0.0038,3,8,1.0602,0.9301,0.3116,9,17,0.8282,0.5123,0.0065,19,26,0.6211,0.3632,4e-04,37,26
"dist_refinery_edge",-619.0355,90422.0149,0.5053,3,8,-83.0479,495.962,0.3858,9,17,47.9265,283.2477,0.6022,19,26,-86.1449,218.2652,0.3519,37,26
"nearest_refinery_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
