"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.8_OPT","se_h0.8_OPT","pval_h0.8_OPT","n_l_h0.8_OPT","n_r_h0.8_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"n_petrochem_100km_edge",-0.1949,0.5838,0.1176,21,11,-0.0402,0.5022,0.5432,37,13,0.0029,0.4622,0.765,57,14,-0.125,0.3904,0.963,128,21
"dist_refinery_edge",62.9776,603.532,0.7711,21,11,128.7387,550.7336,0.9919,37,13,191.5923,529.5152,0.9608,57,14,232.9522,421.8445,0.6936,128,21
"nearest_refinery_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_refinery_25km_edge",0.0978,0.1888,0.0926,21,11,-0.1432,0.0984,0.1036,37,13,-0.2319,0.074,0.6086,57,14,-0.2614,0.1106,0.0593,128,21
"n_refinery_50km_edge",-0.5107,0.6765,0.2643,21,11,-0.5103,0.4672,0.2072,37,13,-0.5242,0.4094,0.1845,57,14,-0.5366,0.2967,0.0974,128,21
"n_refinery_100km_edge",-0.2713,0.5669,0.3173,21,11,-0.1856,0.4645,0.4011,37,13,-0.1699,0.4406,0.5045,57,14,-0.1437,0.3758,0.6281,128,21
"dist_storage_edge",39.0541,46.7998,0.5082,21,11,43.3857,41.8836,0.3865,37,13,37.7403,39.6068,0.2876,57,14,30.2793,33.4037,0.2076,128,21
"nearest_storage_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_storage_25km_edge",-0.0708,2.0383,0.9509,21,11,0.3044,2.0169,0.8914,37,13,0.4674,1.9841,0.9888,57,14,0.0646,1.6843,0.7678,128,21
"n_storage_50km_edge",-3.214,2.6829,0.0643,21,11,-1.9118,2.4399,0.0818,37,13,-0.8744,2.4175,0.1637,57,14,-0.5328,2.0868,0.5229,128,21
"n_storage_100km_edge",-4.1041,5.2646,0.1845,21,11,-2.3398,4.5697,0.2323,37,13,-1.0696,4.3453,0.3441,57,14,-0.6562,3.6638,0.6169,128,21
"dist_any_edge",38.6855,46.798,0.5009,21,11,43.0733,41.8761,0.3882,37,13,37.213,39.6015,0.2877,57,14,30.1602,33.3882,0.2143,128,21
"n_any_25km_edge",-0.2421,2.1277,0.8538,21,11,-0.2445,2.0953,0.8945,37,13,-0.1424,2.0255,0.8708,57,14,-0.463,1.6985,0.9235,128,21
"n_any_50km_edge",-4.3627,2.7124,0.0208,21,11,-3.104,2.4517,0.0275,37,13,-1.8477,2.4181,0.0513,57,14,-1.3156,2.0993,0.2489,128,21
"n_any_100km_edge",-5.0035,6.1246,0.1821,21,11,-2.9576,5.3237,0.2152,37,13,-1.3969,5.0554,0.3141,57,14,-1.0202,4.2796,0.599,128,21
"n_hosted",-0.1146,0.4303,0.8322,21,11,-0.4028,0.3838,0.7409,37,13,-0.6027,0.3291,0.8031,57,14,-0.5578,0.2559,0.0175,128,21
"hosts_any",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"km_ferrocarril_total",35.9275,28.9282,0.1728,21,11,28.4039,28.3998,0.1665,37,13,29.3765,28.8627,0.2828,57,14,14.1437,26.6442,0.1234,128,21
"km_ferrocarril_operacion",26.1295,26.2725,0.3268,21,11,21.0236,28.2305,0.3197,37,13,19.4867,29.5041,0.4209,57,14,9.748,26.6485,0.2941,128,21
"km_ferrocarril_sin_uso",9.7981,9.595,0.154,21,11,7.3803,9.3384,0.2306,37,13,9.8898,9.4584,0.4435,57,14,4.3957,9.8157,0.1821,128,21
"km_ferrocarril_carga",24.602,26.988,0.3466,21,11,20.071,28.6429,0.3625,37,13,18.7708,29.7997,0.4462,57,14,7.9679,26.8327,0.3113,128,21
"km_ferrocarril_pasajeros",0.8244,1.2156,0.2594,21,11,1.0085,0.9797,0.4424,37,13,1.3818,1.0856,0.8785,57,14,1.5655,1.6402,0.5694,128,21
"km_ferrocarril_carga_pasajeros",0.703,1.0503,0.3348,21,11,-0.0559,1.2997,0.3323,37,13,-0.666,0.9254,0.3419,57,14,0.2147,0.8793,0.8698,128,21
"km_ferrocarril_inactivo",9.7981,9.595,0.154,21,11,7.3803,9.3384,0.2306,37,13,9.8898,9.4584,0.4435,57,14,4.3957,9.8157,0.1821,128,21
"km_ferromex",26.9304,26.7203,0.5957,21,11,23.1978,28.1212,0.3265,37,13,22.7407,28.8716,0.411,57,14,17.6983,25.7686,0.2762,128,21
"km_kcs_mexico",2.6302,3.8092,0.8706,21,11,1.7093,3.9234,0.2843,37,13,-2.8247,3.8929,0.1589,57,14,-3.3429,3.6311,0.9305,128,21
"km_ferrosur",-5.1521,7.8391,0.2176,21,11,-6.515,6.1381,0.4887,37,13,-6.1732,7.5067,0.4468,57,14,-4.7943,6.8648,0.2899,128,21
"km_tren_maya",0,0,NA,21,11,0,0,NA,37,13,0.66,0.6863,0.1873,57,14,1.3572,1.4614,0.948,128,21
"km_istmo_tehuantepec",0.703,1.0503,0.3348,21,11,0.3161,1.4238,0.6653,37,13,0.6749,0.9659,0.5146,57,14,-0.4144,1.655,0.4643,128,21
"km_coahuila_durango",0,0,NA,21,11,0,0,NA,37,13,2.5663,1.1098,0.3289,57,14,-0.6159,3.6165,0.3368,128,21
"km_ferrorvalle",0.7667,1.2352,0.3617,21,11,1.9456,1.0899,0.7671,37,13,1.6106,0.9455,0.0958,57,14,-1.1969,1.0966,0.0195,128,21
"km_tijuana_tecate",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0.3862,0.2419,0.3379,128,21
"km_jalisco",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"km_mexico_toluca",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0.0321,0.0391,0.1075,128,21
"km_ferrocarril_suburbano",0.8244,1.2156,0.2594,21,11,1.0085,0.9797,0.4424,37,13,0.7218,0.8411,0.203,57,14,-0.017,0.7338,0.1659,128,21
"km_puebla",0,0,NA,21,11,0,0,NA,37,13,0.0134,0.0222,0.3188,57,14,0.0211,0.0453,0.7976,128,21
"km_sin_concesion",9.2247,9.8665,0.1715,21,11,6.7416,9.4988,0.2599,37,13,9.3867,9.589,0.5166,57,14,5.03,9.8059,0.2263,128,21
"has_ferrocarril",0.8875,0.3244,1e-04,21,11,0.5445,0.3221,0.0013,37,13,0.4816,0.3181,0.011,57,14,0.3123,0.278,0.0194,128,21
"has_ferrocarril_operacion",0.6686,0.4547,0.0264,21,11,0.3773,0.3858,0.0423,37,13,0.267,0.374,0.0972,57,14,-0.0107,0.3343,0.1644,128,21
"has_ferrocarril_carga",0.6395,0.4552,0.0209,21,11,0.3796,0.3866,0.0585,37,13,0.2868,0.3746,0.1115,57,14,-0.0021,0.3348,0.1536,128,21
"has_ferrocarril_pasajeros",0.3496,0.5155,0.2594,21,11,0.3422,0.4001,0.3037,37,13,0.2772,0.3504,0.2966,57,14,0.1646,0.2829,0.2236,128,21
"has_ferrocarril_carga_pasajeros",0.0291,0.0434,0.3348,21,11,-0.0023,0.0537,0.3323,37,13,-0.0275,0.0383,0.3419,57,14,-0.0137,0.0253,0.448,128,21
