"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h172.36_OPT","se_h172.36_OPT","pval_h172.36_OPT","n_l_h172.36_OPT","n_r_h172.36_OPT"
"km_ferrocarril_carga_pasajeros",-1.3196,0.7336,0.3328,9,10,-0.249,1.4561,0.3048,14,15,0.754,1.2591,0.3037,19,20,1.2654,0.5958,0.3627,24,25,1.5022,0.3735,0.7147,29,30,1.1714,1.7347,0.407,60,173
"km_ferrocarril_inactivo",-18.5208,13.6901,0.0305,9,10,-10.86,10.0895,0.0183,14,15,-8.8537,8.6201,0.0589,19,20,-7.2217,7.3867,0.0783,24,25,-7.0318,6.2014,0.111,29,30,2.184,4.6474,0.2986,60,173
"km_ferromex",11.8346,6.7078,0.0777,9,10,18.9154,10.0962,0.6299,14,15,16.5542,11.3204,0.1222,19,20,12.7849,11.7508,0.069,24,25,10.0333,10.0276,0.0462,29,30,5.3663,11.1446,0.4873,60,173
"km_kcs_mexico",-2.4719,8.8437,0.6494,9,10,-4.3172,7.5644,0.6557,14,15,-2.3698,7.7012,0.4793,19,20,0.8421,6.7699,0.2983,24,25,2.5099,6.007,0.4097,29,30,4.684,5.6821,0.0545,60,173
"km_ferrosur",-7.7102,23.719,0.6213,9,10,-11.2316,14.3066,0.778,14,15,-9.4261,12.4525,0.3843,19,20,-8.2689,11.7371,0.3465,24,25,-7.1419,11.0325,0.318,29,30,-2.2944,6.6098,0.3703,60,173
"km_tren_maya",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.8358,1.4646,0.9922,60,173
"km_istmo_tehuantepec",-1.3196,0.7336,0.3328,9,10,-0.249,1.4561,0.3048,14,15,0.754,1.2591,0.3037,19,20,1.1947,0.6026,0.4582,24,25,0.6956,1.04,0.2551,29,30,2.3007,1.8522,0.3332,60,173
"km_coahuila_durango",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,2.4519,1.9802,0.3183,60,173
"km_ferrorvalle",0.2241,0.289,0.3811,9,10,0.1622,0.2426,0.2271,14,15,0.1878,0.2623,0.3023,19,20,-0.352,1.1681,0.8507,24,25,0.6131,0.8865,0.1419,29,30,0.4137,1.3824,0.1847,60,173
"km_tijuana_tecate",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,2.5641,3.2533,0.2453,60,173
"km_jalisco",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.3088,0.5287,0.3469,60,173
"km_mexico_toluca",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,-0.18,0.2842,0.4368,60,173
"km_ferrocarril_suburbano",0.1572,0.2811,0.2633,9,10,0.0933,0.2333,0.3285,14,15,-0.0455,0.2445,0.3035,19,20,-0.0727,0.4814,0.9082,24,25,-0.0105,0.1937,0.5887,29,30,0.0446,0.3583,0.5074,60,173
"km_puebla",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.2282,0.2137,0.2844,60,173
"km_sin_concesion",-18.2402,13.6841,0.0291,9,10,-10.6466,10.0845,0.0198,14,15,-8.971,8.6141,0.0661,19,20,-7.4214,7.3841,0.082,24,25,-7.0598,6.1987,0.1009,29,30,0.9643,4.5405,0.1766,60,173
"has_ferrocarril",-0.2848,0.2315,0.257,9,10,0.0047,0.1328,1e-04,14,15,0.2352,0.1662,0.0491,19,20,0.2454,0.1742,0.8939,24,25,0.2274,0.1757,0.3588,29,30,0.1059,0.1524,0.1439,60,173
"has_ferrocarril_operacion",0.3152,1.0713,0.3814,9,10,0.3337,0.7268,0.6629,14,15,0.4558,0.575,0.6548,19,20,0.4028,0.4851,0.3858,24,25,0.4128,0.4236,0.3626,29,30,0.2958,0.2331,0.0522,60,173
"has_ferrocarril_carga",0.3697,1.0712,0.3965,9,10,0.344,0.7279,0.603,14,15,0.4246,0.577,0.5904,19,20,0.3505,0.4857,0.3616,24,25,0.3507,0.423,0.3691,29,30,0.2686,0.2377,0.1017,60,173
"has_ferrocarril_pasajeros",0.0667,0.1192,0.2633,9,10,0.0396,0.099,0.3285,14,15,-0.0193,0.1037,0.3035,19,20,-0.0499,0.0694,0.4728,24,25,-0.0571,0.0265,0.8016,29,30,0.0075,0.1055,0.7515,60,173
"has_ferrocarril_carga_pasajeros",-0.0545,0.0303,0.3328,9,10,-0.0103,0.0602,0.3048,14,15,0.0312,0.052,0.3037,19,20,0.0523,0.0246,0.3627,24,25,0.0621,0.0154,0.7147,29,30,0.0254,0.0592,0.2798,60,173
