"CVEGEO","dist_gasproc_cent","nearest_gasproc_cent","n_gasproc_25km_cent","n_gasproc_50km_cent","n_gasproc_100km_cent","dist_maritime_cent","nearest_maritime_cent","n_maritime_25km_cent","n_maritime_50km_cent","n_maritime_100km_cent","dist_petrochem_cent","nearest_petrochem_cent","n_petrochem_25km_cent","n_petrochem_50km_cent","n_petrochem_100km_cent","dist_refinery_cent","nearest_refinery_cent","n_refinery_25km_cent","n_refinery_50km_cent","n_refinery_100km_cent","dist_storage_cent","nearest_storage_cent","n_storage_25km_cent","n_storage_50km_cent","n_storage_100km_cent","dist_any_cent","n_any_25km_cent","n_any_50km_cent","n_any_100km_cent","dist_gasproc_edge","nearest_gasproc_edge","n_gasproc_25km_edge","n_gasproc_50km_edge","n_gasproc_100km_edge","dist_maritime_edge","nearest_maritime_edge","n_maritime_25km_edge","n_maritime_50km_edge","n_maritime_100km_edge","dist_petrochem_edge","nearest_petrochem_edge","n_petrochem_25km_edge","n_petrochem_50km_edge","n_petrochem_100km_edge","dist_refinery_edge","nearest_refinery_edge","n_refinery_25km_edge","n_refinery_50km_edge","n_refinery_100km_edge","dist_storage_edge","nearest_storage_edge","n_storage_25km_edge","n_storage_50km_edge","n_storage_100km_edge","dist_any_edge","n_any_25km_edge","n_any_50km_edge","n_any_100km_edge","n_hosted","hosts_any"
"19006",184.677869713678,"CPG Burgos",0,0,0,606.587861168311,"TM Tuxpan",0,0,0,645.01469479981,"CP Escolin",0,0,0,30.9797854009601,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,29.4989298795154,"TAR Santa Catarina",0,2,2,29.4989298795154,0,3,3,176.045619514377,"CPG Burgos",0,0,0,593.931598403201,"TM Tuxpan",0,0,0,632.48375701175,"CP Escolin",0,0,0,18.365010646597,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",1,1,1,16.8982207153196,"TAR Cadereyta",2,2,2,16.8982207153196,3,3,3,0,FALSE
"19011",135.247830820438,"CPG Burgos",0,0,0,612.749072723567,"TM Tuxpan",0,0,0,654.03703484092,"CP Escolin",0,0,0,58.0204712516762,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,58.8796988438208,"TAR Cadereyta",0,0,2,58.0204712516762,0,0,3,112.691455566087,"CPG Burgos",0,0,0,588.564702261689,"TM Tuxpan",0,0,0,629.772742768523,"CP Escolin",0,0,0,44.2197731946453,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,45.653175943297,"TAR Cadereyta",0,1,2,44.2197731946453,0,2,3,0,FALSE
"19001",205.045284227658,"CPG Burgos",0,0,0,631.587620262928,"TM Tuxpan",0,0,0,669.40577322219,"CP Escolin",0,0,0,58.1230861787352,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,30.0999157514046,"TAR Santa Catarina",0,1,2,30.0999157514046,0,1,3,201.471798776778,"CPG Burgos",0,0,0,626.973108655051,"TM Tuxpan",0,0,0,664.649636984659,"CP Escolin",0,0,0,54.8575090204817,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,24.7378450780629,"TAR Santa Catarina",1,1,2,24.7378450780629,1,1,3,0,FALSE
"19017",245.915551165331,"CPG Burgos",0,0,0,522.729084606803,"TM Tuxpan",0,0,0,556.3892077512,"CP Escolin",0,0,0,102.125878829366,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,100.42594614054,"TAR Santa Catarina",0,0,0,100.42594614054,0,0,0,203.795905373962,"CPG Burgos",0,0,0,463.833081963582,"TM Tuxpan",0,0,0,497.28394460538,"CP Escolin",0,0,0,58.5163234577278,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,47.7228489913406,"TAR Santa Catarina",0,1,3,47.7228489913406,0,1,4,0,FALSE
"19016",146.032352103076,"CPG Burgos",0,0,0,594.539123634399,"TM Tuxpan",0,0,0,634.901289564404,"CP Escolin",0,0,0,31.5872588812195,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,32.5658797436926,"TAR Cadereyta",0,1,2,31.5872588812195,0,2,3,132.38076480908,"CPG Burgos",0,0,0,577.597193989362,"TM Tuxpan",0,0,0,617.777370760969,"CP Escolin",0,0,0,18.2656921990144,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",1,1,1,19.2121057237428,"TAR Cadereyta",1,1,2,18.2656921990144,2,2,3,0,FALSE
"19050",168.498228376685,"CPG Burgos",0,0,0,678.094326329493,"TM Tuxpan",0,0,0,719.711062541165,"CP Escolin",0,0,0,115.811520146885,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,97.6743431148489,"TAR Nuevo Laredo",0,0,1,97.6743431148489,0,0,1,144.388160117996,"CPG Burgos",0,0,0,646.375772125132,"TM Tuxpan",0,0,0,687.773939499499,"CP Escolin",0,0,0,85.4781256814597,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,64.6161189122178,"TAR Nuevo Laredo",0,0,3,64.6161189122178,0,0,4,0,FALSE
"19034",167.347813855869,"CPG Burgos",0,0,0,608.037903377501,"TM Tuxpan",0,0,0,647.478739481528,"CP Escolin",0,0,0,32.2634117789824,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,31.949176799351,"TAR Cadereyta",0,2,2,31.949176799351,0,3,3,144.744030666972,"CPG Burgos",0,0,0,587.940760507664,"TM Tuxpan",0,0,0,627.698999164729,"CP Escolin",0,0,0,17.012493218278,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",1,1,1,17.4255570001773,"TAR Cadereyta",1,2,2,17.012493218278,2,3,3,0,FALSE
"19035",114.099115362711,"CPG Burgos",0,0,0,602.219111367514,"TM Tuxpan",0,0,0,644.378034060989,"CP Escolin",0,0,0,68.0404575839365,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,69.3536924319824,"TAR Cadereyta",0,0,1,68.0404575839365,0,0,2,104.723983895461,"CPG Burgos",0,0,0,594.422861205153,"TM Tuxpan",0,0,0,636.827515390906,"CP Escolin",0,0,0,59.0140404306249,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,60.3133951343986,"TAR Cadereyta",0,0,2,59.0140404306249,0,0,3,0,FALSE
"19028",164.199383326212,"CPG Burgos",0,0,0,621.294073870485,"TM Tuxpan",0,0,0,661.208178743019,"CP Escolin",0,0,0,48.0004762718093,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,47.8945733282728,"TAR Cadereyta",0,1,2,47.8945733282728,0,2,3,152.508985660496,"CPG Burgos",0,0,0,606.541894606925,"TM Tuxpan",0,0,0,646.36004509688,"CP Escolin",0,0,0,33.6654621465719,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,33.7722110690923,"TAR Cadereyta",0,2,2,33.6654621465719,0,3,3,0,FALSE
"19033",173.136986001724,"CPG Burgos",0,0,0,484.031990587728,"TM Tuxpan",0,0,0,523.130658446874,"CP Escolin",0,0,0,93.1024789894739,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,94.0015991473603,"TAR Cadereyta",0,0,1,93.1024789894739,0,0,2,130.126351624343,"CPG Burgos",0,0,0,460.933153313697,"TM Tuxpan",0,0,0,500.023549733335,"CP Escolin",0,0,0,68.328745569673,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,68.8139339344878,"TAR Cadereyta",0,0,2,68.328745569673,0,0,3,0,FALSE
