CVEGEO,state_num,state_name,own_capital,capital_cvegeo,dist_cap_own,dist_capmun_own,dist_cap_nearest,nearest_cap,nearest_cap_state,same_state_cap,is_capital,near_own_cap,excess_dist_own_cap,log_dist_cap_own,n_caps_100km,n_caps_200km
05022,05,Coahuila,Saltillo,05030,341.1099943683141,385.9762917252039,311.71036610136787,Monterrey,Nuevo León,FALSE,FALSE,FALSE,29.39962826694625,5.835132306313654,0,0
05019,05,Coahuila,Saltillo,05030,320.4940303954032,364.17087958799664,301.3666637172926,Monterrey,Nuevo León,FALSE,FALSE,FALSE,19.127366678110548,5.772978975528314,0,0
05007,05,Coahuila,Saltillo,05030,190.5616591013758,218.22070077561318,190.5616591013758,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.255209736438029,0,1
05034,05,Coahuila,Saltillo,05030,343.8658715158472,366.26985052706635,274.6911974175053,Chihuahua,Chihuahua,FALSE,FALSE,FALSE,69.17467409834188,5.84315556322258,0,0
05037,05,Coahuila,Saltillo,05030,295.83774566033225,340.46626186842747,270.19830052932434,Monterrey,Nuevo León,FALSE,FALSE,FALSE,25.639445131007903,5.693185678612551,0,0
05029,05,Coahuila,Saltillo,05030,183.04548546852052,220.01004427635806,183.04548546852052,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.215182930692466,0,2
05001,05,Coahuila,Saltillo,05030,188.70325817313042,231.22558022211535,183.47339166466628,Monterrey,Nuevo León,FALSE,FALSE,FALSE,5.229866508464141,5.245461052192157,0,2
05038,05,Coahuila,Saltillo,05030,375.9110727598613,418.5295786012794,361.2621076495548,Monterrey,Nuevo León,FALSE,FALSE,FALSE,14.648965110306506,5.93200927835007,0,0
05021,05,Coahuila,Saltillo,05030,212.642788994722,250.7461313884448,212.642788994722,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.364305410033063,0,0
05010,05,Coahuila,Saltillo,05030,175.7512099294072,215.40292754358168,175.7512099294072,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.174743150181299,0,2
05011,05,Coahuila,Saltillo,05030,55.60940656635709,69.03796093470945,55.60940656635709,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,4.036175165152377,1,2
05036,05,Coahuila,Saltillo,05030,193.64980524955564,181.83949696670885,193.64980524955564,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.271202073539938,0,1
06006,06,Colima,Colima,06002,30.935175689766144,17.158688727947315,30.935175689766144,Colima,Colima,TRUE,FALSE,TRUE,0,3.463708088478493,1,2
06002,06,Colima,Colima,06002,17.226337463007035,0,17.226337463007035,Colima,Colima,TRUE,TRUE,TRUE,0,2.9028676613753137,1,2
06005,06,Colima,Colima,06002,16.205322307086128,23.593958414923375,16.205322307086128,Colima,Colima,TRUE,FALSE,TRUE,0,2.8452187724123164,1,2
06008,06,Colima,Colima,06002,35.083132722725516,50.48403193079915,35.083132722725516,Colima,Colima,TRUE,FALSE,TRUE,0,3.585825518551705,1,2
06001,06,Colima,Colima,06002,38.71406260575817,40.015850937311775,38.71406260575817,Colima,Colima,TRUE,FALSE,TRUE,0,3.681705346778922,1,2
06004,06,Colima,Colima,06002,20.605356671788673,30.268510243596655,20.605356671788673,Colima,Colima,TRUE,FALSE,TRUE,0,3.072941278008965,1,2
06010,06,Colima,Colima,06002,14.839437915551219,31.08357865312398,14.839437915551219,Colima,Colima,TRUE,FALSE,TRUE,0,2.7625029006273256,1,2
06003,06,Colima,Colima,06002,17.31634082493288,34.04625518640851,17.31634082493288,Colima,Colima,TRUE,FALSE,TRUE,0,2.9077936026656657,1,2
06007,06,Colima,Colima,06002,60.32837313799389,69.19473269884595,60.32837313799389,Colima,Colima,TRUE,FALSE,FALSE,0,4.116242592920399,1,2
06009,06,Colima,Colima,06002,40.092109877042155,32.64465010943657,40.092109877042155,Colima,Colima,TRUE,FALSE,TRUE,0,3.7158161292782665,1,1
07019,07,Chiapas,Tuxtla Gutiérrez,07101,110.91631766449014,113.62002559759226,110.91631766449014,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.717751428319267,0,1
07090,07,Chiapas,Tuxtla Gutiérrez,07101,51.73963263047262,53.200850542670366,51.73963263047262,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,3.965367215229144,2,2
07020,07,Chiapas,Tuxtla Gutiérrez,07101,94.63681487443706,94.81529190711927,94.63681487443706,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.560557838756982,1,1
07021,07,Chiapas,Tuxtla Gutiérrez,07101,41.16253947054913,41.206840895729165,41.16253947054913,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,3.741532136540289,1,2
07079,07,Chiapas,Tuxtla Gutiérrez,07101,21.05852738583778,20.6212922422863,21.05852738583778,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,3.0936992566487223,1,2
07109,07,Chiapas,Tuxtla Gutiérrez,07101,95.82707424617924,99.72515130372543,95.82707424617924,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.572926647801659,1,2
07108,07,Chiapas,Tuxtla Gutiérrez,07101,53.63732406815239,50.502215361125,53.63732406815239,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.000717240200765,1,2
07107,07,Chiapas,Tuxtla Gutiérrez,07101,76.04159366486812,74.07996211257756,76.04159366486812,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.3443454534761745,1,1
07106,07,Chiapas,Tuxtla Gutiérrez,07101,71.59753632495656,73.48246065079121,71.59753632495656,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.284930986336994,1,2
07104,07,Chiapas,Tuxtla Gutiérrez,07101,115.08521087853545,117.24178465735568,115.08521087853545,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.754324497976171,0,1
07103,07,Chiapas,Tuxtla Gutiérrez,07101,193.6345230005683,193.80970560903515,193.6345230005683,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,5.271123558953627,0,1
07102,07,Chiapas,Tuxtla Gutiérrez,07101,227.91794172114052,228.2763109483875,227.91794172114052,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,5.433363606242139,0,0
07101,07,Chiapas,Tuxtla Gutiérrez,07101,3.951178780805263,0,3.951178780805263,Tuxtla Gutiérrez,Chiapas,TRUE,TRUE,TRUE,0,1.5996256857667734,1,2
07120,07,Chiapas,Tuxtla Gutiérrez,07101,143.3954768919199,143.5097725320972,143.3954768919199,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.972555902504977,0,1
07074,07,Chiapas,Tuxtla Gutiérrez,07101,123.9001162422106,124.94795152499957,34.76488913916428,Villahermosa,Tabasco,FALSE,FALSE,FALSE,89.13522710304632,4.827514347813329,1,2
07075,07,Chiapas,Tuxtla Gutiérrez,07101,89.74327141001031,92.3810823095511,89.74327141001031,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.50803432615383,1,2
07057,07,Chiapas,Tuxtla Gutiérrez,07101,179.7883094382581,180.30388684187815,179.7883094382581,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,5.1973267856808905,0,1
07007,07,Chiapas,Tuxtla Gutiérrez,07101,80.00572480668487,83.0843727045751,80.00572480668487,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.394519828800703,1,2
07111,07,Chiapas,Tuxtla Gutiérrez,07101,34.436696000501804,38.02590146438886,34.436696000501804,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,3.567747893414071,1,2
07054,07,Chiapas,Tuxtla Gutiérrez,07101,217.81814579457063,217.63665020546418,217.81814579457063,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,5.3882410003566354,0,0
07076,07,Chiapas,Tuxtla Gutiérrez,07101,81.90627057835884,85.36637364983507,81.44245289702602,Villahermosa,Tabasco,FALSE,FALSE,FALSE,0.4638176813328272,4.417710699550377,2,2
07081,07,Chiapas,Tuxtla Gutiérrez,07101,66.5747663174004,70.30951845168882,66.5747663174004,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.2132346340344515,2,2
07063,07,Chiapas,Tuxtla Gutiérrez,07101,16.068508815349148,18.26335598098964,16.068508815349148,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,2.8372351759517866,1,2
07110,07,Chiapas,Tuxtla Gutiérrez,07101,43.06644210129465,46.160131110351394,43.06644210129465,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,3.785698542699305,1,2
07051,07,Chiapas,Tuxtla Gutiérrez,07101,145.05369491500048,144.30618709872812,145.05369491500048,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.983974327486694,0,1
07070,07,Chiapas,Tuxtla Gutiérrez,07101,171.8226481906588,172.6236975088307,171.8226481906588,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,5.152265913699733,0,1
07112,07,Chiapas,Tuxtla Gutiérrez,07101,78.4874546207291,82.41840294937806,78.4874546207291,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.375599205695161,1,2
07050,07,Chiapas,Tuxtla Gutiérrez,07101,172.23459772777886,176.08812499754342,131.701384325914,Villahermosa,Tabasco,FALSE,FALSE,FALSE,40.533213401864856,5.154646732113833,0,2
07022,07,Chiapas,Tuxtla Gutiérrez,07101,60.3902237759529,64.29563999800588,60.3902237759529,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.117250600585928,1,2
07053,07,Chiapas,Tuxtla Gutiérrez,07101,181.92809457039087,182.80501179121464,181.92809457039087,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,5.209093149780975,0,1
07080,07,Chiapas,Tuxtla Gutiérrez,07101,157.14644477147226,157.88178014217118,157.14644477147226,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,5.06352146939447,0,1
07049,07,Chiapas,Tuxtla Gutiérrez,07101,39.70932360504088,43.62439065769129,39.70932360504088,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,3.706457147418392,1,2
07065,07,Chiapas,Tuxtla Gutiérrez,07101,157.41898810566104,161.3258136949649,132.82705776500845,Villahermosa,Tabasco,FALSE,FALSE,FALSE,24.591930340652596,5.065243346600389,0,2
07086,07,Chiapas,Tuxtla Gutiérrez,07101,18.869057738652085,17.132405769061148,18.869057738652085,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,2.989163634133416,1,2
07062,07,Chiapas,Tuxtla Gutiérrez,07101,81.7110843307658,81.67488426099027,79.27764810279015,Villahermosa,Tabasco,FALSE,FALSE,FALSE,2.4334362279756476,4.41535362365011,2,2
07077,07,Chiapas,Tuxtla Gutiérrez,07101,123.6571419546403,127.43415506633804,99.59796070777047,Villahermosa,Tabasco,FALSE,FALSE,FALSE,24.059181246869827,4.825567104394318,1,2
07082,07,Chiapas,Tuxtla Gutiérrez,07101,86.48564824379258,90.43633651663731,86.48564824379258,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.471474759839864,1,2
07024,07,Chiapas,Tuxtla Gutiérrez,07101,95.96675883022627,99.41468323047889,95.96675883022627,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.574368227299005,1,2
07121,07,Chiapas,Tuxtla Gutiérrez,07101,54.71823863519409,57.33533962744943,54.71823863519409,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.0203075374140145,2,2
07042,07,Chiapas,Tuxtla Gutiérrez,07101,61.99936805494086,64.23678017413548,61.99936805494086,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.143124695467269,2,2
07025,07,Chiapas,Tuxtla Gutiérrez,07101,63.73938484686882,65.07223496893332,63.73938484686882,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,FALSE,0,4.170369746551021,2,2
07018,07,Chiapas,Tuxtla Gutiérrez,07101,40.95191517789889,42.298916906011065,40.95191517789889,Tuxtla Gutiérrez,Chiapas,TRUE,FALSE,TRUE,0,3.736524085694684,2,2
