municipio,CVEGEO,tdpa_mean,no_tdpa_mean,punto_generador_count,no_punto_generador_count,m_mean,no_m_mean,a_mean,no_a_mean,b_mean,no_b_mean,c2_mean,no_c2_mean,c3_mean,no_c3_mean,t3s2_mean,no_t3s2_mean,t3s3_mean,no_t3s3_mean,t3s2r4_mean,no_t3s2r4_mean,otros_mean,no_otros_mean,aa_mean,no_aa_mean,bb_mean,no_bb_mean,cc_mean,no_cc_mean
Piedras Negras,05025,3230.15,0,1.0,0,2.005,0,72.91499999999999,0,2.9850000000000003,0,15.355,0,2.9850000000000003,0,1.935,0,1.29,0,0.24,0,0.29,0,74.92,0,2.9850000000000003,0,22.095,0
Progreso,05026,5162.941520467836,0,8.0,0,6.474853801169591,0,80.93333333333334,0,1.2286549707602339,0,4.811695906432749,0,1.1760233918128655,0,3.064327485380117,0,0.7801169590643275,0,1.2198830409356725,0,0.3111111111111111,0,87.40818713450292,0,1.2286549707602339,0,11.363157894736842,0
Ramos Arizpe,05027,15069.759493670887,0,13.0,0,1.738481012658228,0,64.36810126582279,0,3.0268354430379745,0,8.09139240506329,0,2.219746835443038,0,13.628354430379746,0,2.7951898734177214,0,3.4265822784810127,0,0.7053164556962026,0,66.10658227848101,0,3.0268354430379745,0,30.86658227848101,0
Sabinas,05028,5116.7131782945735,0,9.0,0,1.3666666666666667,0,72.42170542635658,0,2.448062015503876,0,12.16046511627907,0,1.8410852713178294,0,4.8062015503875966,0,2.113953488372093,0,2.25968992248062,0,0.5821705426356588,0,73.78837209302326,0,2.448062015503876,0,23.76356589147287,0
Sacramento,05029,1485.0434782608695,0,4.0,0,1.5456521739130433,0,79.75652173913043,0,2.902173913043478,0,8.478260869565217,0,1.4673913043478262,0,3.006521739130435,0,1.2217391304347827,0,1.258695652173913,0,0.3630434782608695,0,81.30217391304348,0,2.902173913043478,0,15.795652173913044,0
Saltillo,05030,15725.255520504732,0,14.0,0,1.5596214511041009,0,73.0826498422713,0,3.31608832807571,0,7.1457413249211355,0,1.726813880126183,0,8.556782334384858,0,1.7817034700315455,0,2.255205047318612,0,0.5753943217665616,0,74.64227129337539,0,3.31608832807571,0,22.041640378548895,0
San Buenaventura,05031,1858.8,0,2.0,0,2.41,0,82.03,0,1.0,0,11.295,0,1.3800000000000001,0,1.28,0,0.365,0,0.11500000000000002,0,0.125,0,84.44,0,1.0,0,14.559999999999999,0
San Juan de Sabinas,05032,3826.7045454545455,0,4.0,0,2.036363636363636,0,74.81136363636364,0,1.8363636363636362,0,12.906818181818181,0,1.643181818181818,0,3.247727272727273,0,2.2227272727272727,0,0.8159090909090909,0,0.47954545454545455,0,76.84772727272728,0,1.8363636363636362,0,21.31590909090909,0
San Pedro,05033,3649.1592920353983,0,12.0,0,5.297787610619469,0,69.6787610619469,0,3.3774336283185837,0,8.217699115044248,0,1.8969026548672565,0,6.627876106194691,0,1.8238938053097344,0,2.5017699115044247,0,0.5778761061946902,0,74.97654867256638,0,3.3774336283185837,0,21.646017699115045,0
Sierra Mojada,05034,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Torreón,05035,19600.5421686747,0,13.0,0,3.3195906432748536,0,81.65877192982455,0,1.3839181286549709,0,5.371637426900585,0,1.4029239766081871,0,3.354385964912281,0,1.7435672514619882,0,1.2801169590643275,0,0.4850877192982456,0,84.97836257309942,0,1.3839181286549709,0,13.637719298245615,0
Viesca,05036,1718.8235294117646,0,2.0,0,2.4058823529411764,0,59.29705882352941,0,3.138235294117647,0,12.26764705882353,0,3.1852941176470586,0,13.291176470588235,0,3.5617647058823527,0,2.2911764705882356,0,0.5617647058823529,0,61.70294117647059,0,3.138235294117647,0,35.15882352941177,0
Villa Unión,05037,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Zaragoza,05038,9802.47926267281,0,7.0,0,2.4686635944700464,0,65.33502304147466,0,3.4963133640553,0,9.309216589861752,0,2.349769585253456,0,12.489861751152075,0,2.0824884792626728,0,1.9258064516129032,0,0.5428571428571428,0,67.79907834101382,0,3.485253456221198,0,28.715668202764977,0
Armería,06001,4265.89010989011,0,12.0,0,7.2445054945054945,0,70.7521978021978,0,2.0961538461538463,0,6.096153846153846,0,1.8873626373626373,0,4.751648351648352,0,2.203846153846154,0,4.15054945054945,0,0.8175824175824177,0,77.99670329670329,0,2.0961538461538463,0,19.90714285714286,0
Colima,06002,8370.785915492957,0,11.0,0,4.471267605633803,0,81.08450704225352,0,1.2861971830985917,0,6.068450704225353,0,1.2535211267605635,0,2.6890140845070425,0,1.5785915492957745,0,1.076056338028169,0,0.49239436619718313,0,85.55577464788732,0,1.2861971830985917,0,13.158028169014086,0
Comala,06003,3082.2972972972975,0,4.0,0,4.332432432432433,0,87.70270270270271,0,0.6864864864864865,0,5.521621621621622,0,0.3810810810810811,0,0.8405405405405406,0,0.26756756756756755,0,0.07297297297297298,0,0.1945945945945946,0,92.03513513513514,0,0.6864864864864865,0,7.278378378378378,0
Coquimatlán,06004,5915.9,0,1.0,0,7.486666666666666,0,83.67666666666668,0,0.9633333333333333,0,5.6066666666666665,0,0.6633333333333333,0,0.9433333333333334,0,0.38333333333333336,0,0.07333333333333333,0,0.2033333333333333,0,91.16333333333334,0,0.9633333333333333,0,7.873333333333333,0
Cuauhtémoc,06005,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
Ixtlahuacán,06006,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
