"CVEGEO","NOMGEO","homicidios_total","robos_total","n_inseguro_popw"
"08010","Buenaventura",3.99999999999998,0,NA
"08009","Bocoyna",20,3.99999999999998,9717.91216
"08008","Batopilas de Manuel Gómez Morín",3.99999999999998,0,2310.658421
"08006","Bachíniva",2,0,1458.842686
"08004","Aquiles Serdán",15,2,12379.07071
"08005","Ascensión",1,0,7300.704083
"08032","Hidalgo del Parral",6.99999999999999,11,33433.522
"08042","Manuel Benavides",0,0,NA
"08040","Madera",7.99999999999997,3.99999999999998,8212.957273
"08039","López",0,1,1284.154776
"08038","Julimes",1,0,97.48090435
"08035","Janos",1,0,2304.333333
"08034","Ignacio Zaragoza",2,0,NA
"08033","Huejotitán",0,0,NA
"08063","Temósachic",5.99999999999998,0,NA
"08061","Satevó",2,12,NA
"08062","Saucillo",3.99999999999998,0,5335.819925
"08030","Guazapares",3,0,NA
"08028","Guadalupe",1,0,NA
"08027","Guachochi",45.9999999999997,5,27651.71409
"08026","Gran Morelos",2,0,422.1255948
"08019","Chihuahua",271,37.9999999999997,388282.0179
"08064","El Tule",0,0,NA
"08024","Santa Isabel",1,1,NA
"08037","Juárez",772.999999999999,257,780109.874
"08059","San Francisco del Oro",3,0,NA
"08066","Uruachi",5.99999999999998,0,NA
"08065","Urique",6.99999999999999,0,NA
"08060","Santa Bárbara",2,3,NA
"08044","Matamoros",1,1,174.1721002
"08045","Meoqui",6.99999999999999,0,9633.296404
"08046","Morelos",0,1,NA
"08047","Moris",12,1,NA
"08048","Namiquipa",3,0,3103.533574
"08029","Guadalupe y Calvo",51.9999999999998,7.99999999999997,24371.39137
"08036","Jiménez",1,2,11320.45625
"08049","Nonoava",2,0,NA
"08002","Aldama",26,16,13141.52921
"09012","Tlalpan",46.9999999999999,89.9999999999998,326994.5352
"09009","Milpa Alta",15,13,69327.52389
"09015","Cuauhtémoc",71.9999999999997,34,313487.92
"09007","Iztapalapa",173,209,1107891.112
"09008","La Magdalena Contreras",20,7.99999999999997,116973.1925
"09010","Álvaro Obregón",55.9999999999998,35,423329.9822
"09003","Coyoacán",23,32,218380.5992
"09016","Miguel Hidalgo",32,26,200896.8506
"09004","Cuajimalpa de Morelos",11,5,111414.2537
"09006","Iztacalco",27,34,245578.8152
"09011","Tláhuac",34,58.9999999999999,198199.1379
"09013","Xochimilco",39.9999999999999,44.9999999999997,265039.174
"09005","Gustavo A. Madero",75.9999999999997,138,709329.1195
"09002","Azcapotzalco",33,28,231717.0434
"09017","Venustiano Carranza",65.9999999999999,38.9999999999999,219809.9635
"09014","Benito Juárez",8.99999999999998,48.9999999999997,86886.46096
"10006","General Simón Bolívar",0,0,NA
"10008","Guadalupe Victoria",1,2,9866.261263
"10009","Guanaceví",0,0,NA
"10010","Hidalgo",0,1,NA
"10029","San Luis del Cordero",0,0,NA
"10031","Santa Clara",0,0,434.0293682
"10011","Indé",0,0,NA
"10038","Vicente Guerrero",1,6.99999999999999,6313.453977
"10030","San Pedro del Gallo",0,0,NA
"10023","Pueblo Nuevo",5,15,8596.941846
"10025","San Bernardo",0,0,NA
"10032","Santiago Papasquiaro",1,5.99999999999998,8895.467674
"10027","San Juan de Guadalupe",0,0,442.1159701
"10007","Gómez Palacio",6.99999999999999,0,125046.6959
"10015","Nazas",0,2,3112.457939
"10035","Tepehuanes",2,1,NA
"10022","Poanas",0,0,7450.590909
"10028","San Juan del Río",0,0,3398.909896
"10017","Ocampo",0,1,357.8938886
"10001","Canatlán",0,2,8458.557243
"10005","Durango",20,13,242105.4483
"10037","Topia",0,0,NA
"10033","Súchil",0,1,2307.671566
"10036","Tlahualilo",1,0,7509.867564
"10012","Lerdo",2,0,43532.34343
"10014","Mezquital",3,2,10413.371
"10026","San Dimas",2,1,2939.275734
"10019","Otáez",0,0,NA
"10034","Tamazula",3.99999999999998,1,NA
"10013","Mapimí",2,0,6793.444367
"10016","Nombre de Dios",0,3,4317.070532
"10018","El Oro",0,0,510.8898538
"10020","Pánuco de Coronado",1,1,2429.196827
"10002","Canelas",0,0,NA
"10039","Nuevo Ideal",1,2,4405.906267
"10021","Peñón Blanco",0,2,3639.426063
"10003","Coneto de Comonfort",0,0,NA
"10024","Rodeo",0,2,NA
"10004","Cuencamé",2,7.99999999999997,8070.59666
"11019","Jerécuaro",8.99999999999998,0,30158.29256
"11020","León",416,148,1013622.886
"11021","Moroleón",1,3,24510.80108
"11023","Pénjamo",69.9999999999999,47.9999999999998,90187.44311
"11038","Tarandacuao",0,0,NA
"11039","Tarimoro",30,46.9999999999999,21933.23402
"11040","Tierra Blanca",0,1,6922.638298
"11041","Uriangato",5,12,NA
"11002","Acámbaro",37.9999999999997,11,68652.41656
"11012","Cuerámaro",2,3.99999999999998,10718.11335
"11013","Doctor Mora",0,3,NA
"11014","Dolores Hidalgo Cuna de la Independencia Nacional",30,50,64074.04207
"11022","Ocampo",5,5.99999999999998,NA
"11024","Pueblo Nuevo",6.99999999999999,13,NA
"11030","San Felipe",24,11,20122.45088
"11036","Santiago Maravatío",2,1,NA
"11007","Celaya",239,291,337204.2232
"11027","Salamanca",201,248,174258.745
"11035","Santa Cruz de Juventino Rosas",33,24,43938.82784
"11011","Cortazar",20,24,NA
"11031","San Francisco del Rincón",44.9999999999997,22,75096.22969
"11025","Purísima del Rincón",23,15,38556.58091
"11026","Romita",3,3,23067.78837
"11028","Salvatierra",69.9999999999999,32,67301
"11029","San Diego de la Unión",3.99999999999998,13,NA
"11032","San José Iturbide",15,68.9999999999996,NA
"11033","San Luis de la Paz",21,37.9999999999997,36957.27273
"11034","Santa Catarina",1,0,NA
"11037","Silao de la Victoria",36.9999999999998,93.9999999999998,117958.0481
"11042","Valle de Santiago",122,94.9999999999997,87349.64013
"11043","Victoria",5,0,NA
"11045","Xichú",0,0,NA
"11044","Villagrán",31,27,28289.64782
"11046","Yuriria",25,23,38578.67614
"11001","Abasolo",12,22,44966.53086
"11003","San Miguel de Allende",71.9999999999997,38.9999999999999,67951.42922
"11004","Apaseo el Alto",42.9999999999999,47.9999999999998,30117.64312
"11005","Apaseo el Grande",64.9999999999997,225,61260.60869
"11006","Atarjea",0,0,NA
"11008","Manuel Doblado",2,5,15292.7561
"11009","Comonfort",16,32,NA
"11010","Coroneo",0,1,NA
"11015","Guanajuato",26,21,100957.5658
"11016","Huanímaro",3,3,6716.693267
"11017","Irapuato",236,201,369417.1824
"11018","Jaral del Progreso",26,22,NA
"12033","Huamuxtitlán",1,3.99999999999998,NA
"12031","General Canuto A. Neri",0,0,NA
"12083","Ñuu Savi",1,0,NA
"12082","Las Vigas",0,0,NA
"12073","Zirándaro",0,2,NA
"12065","Tlalixtaquilla de Maldonado",2,0,NA
"12047","Pedro Ascencio Alquisiras",0,0,NA
"12054","San Miguel Totolapan",1,1,NA
"12053","San Marcos",6.99999999999999,8.99999999999998,26048.3187
"12066","Tlapa de Comonfort",32,11,45584.17915
"12048","Petatlán",7.99999999999997,17,19037.83603
"12007","Arcelia",0,2,7192.205632
"12012","Ayutla de los Libres",20,2,32752.90098
"12006","Apaxtla",0,0,1925.728748
"12010","Atlixtac",3.99999999999998,0,7638.593704
"12011","Atoyac de Álvarez",10,3,17301.62249
"12032","General Heliodoro Castillo",0,3,6879.821519
"12028","Chilapa de Álvarez",14,5,47062.3179
"12029","Chilpancingo de los Bravo",92.9999999999999,179,161003.9301
"12004","Alcozauca de Guerrero",2,0,NA
"12068","La Unión de Isidoro Montes de Oca",6.99999999999999,55.9999999999998,NA
"12039","Juan R. Escudero",5.99999999999998,19,NA
"12038","Zihuatanejo de Azueta",82.9999999999998,144,56325.2717
"12043","Metlatónoc",0,0,NA
"12030","Florencio Villarreal",5,1,NA
"12064","Tlalchapa",0,0,NA
"12067","Tlapehuala",1,2,NA
"12001","Acapulco de Juárez",480.999999999999,377.999999999998,484831.4293
"12019","Copalillo",1,5,5602.06873
"12045","Olinalá",6.99999999999999,3,16856
"12008","Atenango del Río",5,2,NA
"12009","Atlamajalcingo del Monte",1,0,NA
"12046","Ometepec",27,0,33890.61102
"12036","Igualapa",7.99999999999997,1,3882.808286
"12044","Mochitlán",0,0,1839.455648
"12042","Mártir de Cuilapan",3,0,5219.050673
"12040","Leonardo Bravo",5.99999999999998,1,NA
"12076","Acatepec",1,0,NA
"12075","Eduardo Neri",6.99999999999999,54.9999999999999,23887.71562
"12074","Zitlala",0,0,NA
"12072","Zapotitlán Tablas",3.99999999999998,0,4465.586219
"12071","Xochistlahuaca",7.99999999999997,0,5893.387916
"12070","Xochihuehuetlán",1,5,NA
"12069","Xalpatláhuac",2,1,NA
"12052","San Luis Acatlán",16,2,17712.94016
"12041","Malinaltepec",3.99999999999998,0,5250.526159
"12062","Tlacoachistlahuaca",6.99999999999999,0,NA
"12023","Cuajinicuilapa",8.99999999999998,3,NA
"12013","Azoyú",3,1,NA
"12024","Cualác",0,1,2401.402919
"12027","Cutzamala de Pinzón",0,2,7445.02058
"12037","Ixcateopan de Cuauhtémoc",1,1,NA
"12055","Taxco de Alarcón",0,14,49113.78275
"12025","Cuautepec",3.99999999999998,1,7588.782105
"12026","Cuetzala del Progreso",0,0,3353.4
"12059","Tepecoacuilco de Trujano",3,29,15346.87294
"12077","Marquelia",6.99999999999999,3,NA
"12078","Cochoapa el Grande",6.99999999999999,2,9400.328329
"12061","Tixtla de Guerrero",10,3.99999999999998,19073.33333
"12018","Copala",6.99999999999999,3.99999999999998,NA
"12056","Tecoanapa",15,0,20296.93274
"12003","Ajuchitlán del Progreso",0,1,13164.76471
