CVEGEO,longitud_sum,carriles_mean,share_cuota
25011,19.88,4.0,0.0
25012,415.71999999999997,3.111111111111111,0.3888888888888889
25014,123.7,2.0,0.5
25016,138.01,2.0,0.0
26002,262.1,2.4,0.0
26003,34.599999999999994,4.0,1.0
26004,62.730000000000004,4.0,0.5
26012,33.480000000000004,4.0,1.0
26017,86.02,2.0,0.0
26021,134.0,2.0,0.0
26025,55.8,2.5,0.25
26029,130.8,3.6,0.2
26030,248.1,4.166666666666667,0.75
26033,1.4,4.0,1.0
26035,66.30000000000001,3.3333333333333335,0.0
26038,242.5,2.0,0.0
26041,30.0,2.0,0.0
26042,37.35,4.0,1.0
26043,70.3,4.4,0.0
26048,100.4,2.0,0.0
26050,155.41,2.6,0.5
26051,66.35,2.0,0.0
26054,118.0,2.0,0.0
26055,144.94,3.0,0.0
26057,18.7,2.0,0.0
26058,274.59000000000003,3.4285714285714284,0.42857142857142855
26059,161.46,2.2,0.0
26066,35.5,2.0,0.0
26069,211.0,2.0,0.0
27002,72.24000000000001,2.4,0.0
27007,4.1000000000000005,2.0,0.0
27008,27.07,3.0,0.0
27009,13.74,4.0,0.0
27011,13.0,2.0,0.0
27012,8.1,4.0,0.0
27014,28.5,4.0,0.0
27016,17.42,2.0,0.0
27017,129.2,2.0,0.0
28003,46.91,4.333333333333333,0.0
28004,104.17,2.0,0.0
28008,116.8,2.0,0.0
28012,170.73000000000002,2.4,0.0
28014,85.39999999999999,2.0,0.0
28015,27.72,2.0,0.0
28016,3.2,2.0,0.0
28017,92.73,2.0,0.0
28018,5.0,2.0,0.0
28022,544.807,2.736842105263158,0.15789473684210525
28024,54.31,2.0,0.0
28027,79.32000000000001,4.6,0.0
28028,34.6,2.0,0.0
28030,20.0,4.0,0.0
28031,115.19,4.0,0.36363636363636365
28032,114.97,3.2,0.0
28033,24.0,4.0,0.0
28034,64.4,2.0,0.0
28035,24.4,2.0,0.0
28037,162.53,2.0,0.0
28038,135.738,3.6,0.1
28039,21.5,4.0,0.0
28040,64.05,2.0,0.0
28041,91.27000000000001,2.0,0.0
28042,40.5,2.0,0.0
29005,55.449999999999996,2.857142857142857,0.0
29006,85.14,3.2,0.2
29009,9.07,2.0,0.0
29013,30.14,2.5714285714285716,0.2857142857142857
29014,2.67,2.0,0.0
29016,3.4,2.0,0.0
29023,14.2,2.0,0.0
29026,9.8,2.0,0.0
29027,12.04,2.0,0.0
29030,8.5,2.0,0.0
29032,2.7,2.0,0.0
29033,47.546,4.888888888888889,0.2222222222222222
29034,22.299999999999997,2.0,0.0
29036,5.09,2.0,0.0
29039,15.98,2.0,1.0
29040,16.4,4.0,0.0
29044,6.89,4.0,0.0
29047,588.94,2.25,0.3125
29049,7.24,2.0,0.0
30003,76.78,2.5714285714285716,0.0
30011,0.97,2.0,0.0
30023,29.1,2.0,0.0
30026,36.3,2.6666666666666665,0.3333333333333333
30031,8.3,2.0,0.0
30032,78.64,2.0,0.0
30034,19.3,2.0,0.0
30037,15.2,2.0,0.0
30038,9.7,2.0,0.0
30039,545.68,2.893617021276596,0.23404255319148937
30040,19.8,2.0,0.0
30044,330.04,3.1,0.3
30047,19.5,2.0,0.0
30048,29.299999999999997,3.0,0.25
30052,1.14,2.0,0.0
30058,18.07,2.0,0.0
30061,165.7,2.0,1.0
30065,56.02,2.0,0.0
30068,83.61999999999999,2.6666666666666665,0.0
30069,51.93,2.0,0.8
30071,10.9,2.0,0.0
30082,0.9,4.0,1.0
30086,11.7,2.0,0.0
30087,215.45,3.4166666666666665,0.16666666666666666
30092,533.476,5.366666666666666,0.6
30093,33.64,6.0,1.0
30102,26.4,2.0,0.0
30106,74.5,2.0,0.0
30108,43.1,3.3333333333333335,0.3333333333333333
30114,3.99,2.0,0.0
30118,65.33,3.5,0.25
30124,47.800000000000004,2.4,0.0
30127,13.6,4.0,1.0
30128,83.44,2.8,0.4
30130,25.0,2.0,0.0
30134,70.42,2.5,0.0
30137,218.47,3.757575757575758,0.15151515151515152
30138,10.9,4.0,1.0
30142,40.05,2.0,0.0
30143,194.35,2.4,0.2
30144,11.4,2.0,0.0
30149,18.5,2.0,0.0
30150,12.0,4.0,0.0
30151,47.7,2.0,1.0
30152,9.05,4.0,0.0
30155,24.66,2.0,0.0
30161,56.879999999999995,2.0,0.0
30170,25.7,4.0,0.75
30174,23.450000000000003,2.0,0.0
30175,251.68,2.1818181818181817,0.36363636363636365
30178,54.45,2.0,0.0
30180,11.2,2.0,0.0
30183,40.5,2.0,0.0
30185,312.82,2.8666666666666667,0.16666666666666666
30189,147.79,2.6666666666666665,0.16666666666666666
30192,49.120000000000005,2.0,0.0
30193,130.44,2.6666666666666665,0.2
30194,8.5,2.0,1.0
30195,6.8999999999999995,6.0,1.0
30199,54.6,2.5,0.0
30204,74.84,2.3333333333333335,0.0
30208,4.0,2.0,0.0
30211,106.21,3.0,0.25
31004,9.6,4.0,0.0
31006,65.0,2.0,0.0
31007,13.0,2.0,0.0
31009,31.0,2.0,0.0
31011,22.0,2.0,0.0
31013,64.72,2.5,0.0
31021,5.15,2.0,0.0
31024,196.59,2.6666666666666665,0.0
31027,25.0,2.0,0.0
31033,19.8,2.0,0.0
31035,7.6,4.0,0.0
31038,72.8,2.0,0.0
