"CVEGEO","NOMGEO","VIVPAR_HAB","no_VIVPAR_HAB","POBTOT","no_POBTOT","pct_VPH_SINTIC","no_pct_VPH_SINTIC","pct_VPH_C_ELEC","no_pct_VPH_C_ELEC","pct_VPH_AGUADV","no_pct_VPH_AGUADV","pct_VPH_PISODT","no_pct_VPH_PISODT","pct_VPH_PISOTI","no_pct_VPH_PISOTI","pct_VPH_1CUART","no_pct_VPH_1CUART"
"05037","Villa Unión",1812,0,6188,0,0.00717439293598234,0,0.991169977924945,0,0.989514348785872,0,1,0,0.0033112582781457,0,0.0413907284768212,0
"05029","Sacramento",725,0,2471,0,0.00689655172413793,0,0.998620689655172,0,0.997241379310345,0,0.998620689655172,0,0.00137931034482759,0,0.0151724137931034,0
"05001","Abasolo",362,0,1022,0,0.0110497237569061,0,1,0,0.994475138121547,0,1,0,0,0,0.00552486187845304,0
"05038","Zaragoza",3830,0,13135,0,0.0107049608355091,0,1.01409921671018,0,1.03342036553525,0,1.02480417754569,0,0.0151436031331593,0,0.0443864229765013,0
"05021","Nadadores",1932,0,6539,0,0.0082815734989648,0,1.01708074534161,0,1.01604554865424,0,1.01656314699793,0,0.0046583850931677,0,0.0269151138716356,0
"05010","Frontera",22670,0,82409,0,0.00741067490074989,0,1.02659902955448,0,1.02426113806793,0,1.02527569475077,0,0.00379355977062197,0,0.0199382443758271,0
"05011","General Cepeda",3276,0,11898,0,0.0451770451770452,0,1.02442002442002,0,1.01312576312576,0,1.02197802197802,0,0.0100732600732601,0,0.0409035409035409,0
"05036","Viesca",5207,0,20305,0,0.0255425388899558,0,1.01728442481275,0,0.919339350873824,0,0.99750336086038,0,0.0247743422316113,0,0.0370654887651239,0
"06006","Ixtlahuacán",1707,0,5623,0,0.0480374926772115,0,0.9800820152314,0,0.974809607498535,0,0.923257176332748,0,0.0743995313415349,0,0.0843585237258348,0
"06002","Colima",49574,0,157048,0,0.00796788639206036,0,1.00502279420664,0,1.00451849759955,0,0.993242425464961,0,0.0165005849840642,0,0.0357041997821439,0
"06005","Cuauhtémoc",8833,0,31267,0,0.0202649156571946,0,1.04720932865391,0,1.03520887580663,0,1.03351069851693,0,0.0180006792709159,0,0.078342578965244,0
"06008","Minatitlán",2879,0,10231,0,0.0448072247308093,0,0.97707537339354,0,0.972212573810351,0,0.952414032650226,0,0.0420284821118444,0,0.0993400486279958,0
"06001","Armería",8040,0,27626,0,0.0240049751243781,0,1.00883084577114,0,0.999626865671642,0,0.960820895522388,0,0.0568407960199005,0,0.0888059701492537,0
"06004","Coquimatlán",6092,0,20837,0,0.0183847669074196,0,0.998030203545634,0,0.996224556795798,0,0.962738017071569,0,0.0497373604727512,0,0.0536769533814839,0
"06010","Villa de Álvarez",46715,0,149762,0,0.00425987370223697,0,1.04362624424703,0,1.04401155945628,0,1.0362624424703,0,0.00988975703735417,0,0.0159477683827464,0
"06003","Comala",6125,0,21661,0,0.0195918367346939,0,1.00881632653061,0,1.01175510204082,0,0.981061224489796,0,0.0398367346938776,0,0.0692244897959184,0
"06007","Manzanillo",54523,0,191031,0,0.0117014837774884,0,1.08766942391284,0,1.08559690405884,0,1.07176787777635,0,0.0193679731489463,0,0.0643214790088587,0
"06009","Tecomán",32136,0,116305,0,0.0202576549663928,0,1.01596340552651,0,1.0098643266119,0,0.959920338561115,0,0.0625155588747822,0,0.0886233507592731,0
"07019","Comitán de Domínguez",44194,0,166178,0,0.0349142417522741,0,0.997148934244468,0,0.885007014526859,0,0.94243562474544,0,0.0602796759741141,0,0.0598044983481921,0
"07090","Tapalapa",1100,0,4547,0,0.240909090909091,0,0.987272727272727,0,0.977272727272727,0,0.824545454545455,0,0.175454545454545,0,0.0927272727272727,0
"07020","La Concordia",12229,0,49920,0,0.062719764494235,0,0.972524327418432,0,0.92002616730722,0,0.886989941941287,0,0.111456374192493,0,0.187750429307384,0
"07021","Copainalá",5935,0,22192,0,0.131929233361415,0,0.998315080033698,0,0.982982308340354,0,0.914574557708509,0,0.103959561920809,0,0.143218197135636,0
"07079","San Fernando",10464,0,41793,0,0.0443425076452599,0,0.991112385321101,0,0.891341743119266,0,0.95164373088685,0,0.0474006116207951,0,0.150324923547401,0
"07109","Yajalón",8646,0,40285,0,0.17383761276891,0,0.984270182743465,0,0.940087901919963,0,0.771917649780245,0,0.238029146426093,0,0.100624566273421,0
"07108","Villaflores",29248,0,109536,0,0.0351818927789934,0,0.985161378555799,0,0.908027899343545,0,0.937670951859956,0,0.0581920131291028,0,0.159498085339168,0
"07107","Villa Corzo",16789,0,65643,0,0.0595032461730895,0,0.955327893263446,0,0.921377092143665,0,0.919351956638275,0,0.0779081541485497,0,0.215736494133063,0
"07106","Venustiano Carranza",17798,0,67292,0,0.114619620182043,0,0.987301944038656,0,0.955556804135296,0,0.847904258905495,0,0.155860209012249,0,0.176817619957299,0
"07104","Tzimol",4646,0,16560,0,0.0482135170038743,0,0.994188549289712,0,0.92552733534223,0,0.952647438656909,0,0.0512268618166164,0,0.0548859233749462,0
"07103","Tuzantán",7666,0,30302,0,0.0547873728150274,0,0.994260370466997,0,0.910122619358205,0,0.918079833028959,0,0.0841377511087921,0,0.196973649882598,0
"07102","Tuxtla Chico",10629,0,41024,0,0.0546617743908176,0,0.986169912503528,0,0.745695738075078,0,0.895286480383855,0,0.10386677956534,0,0.161162856336438,0
"07101","Tuxtla Gutiérrez",162098,0,604147,0,0.00806302360300559,0,1.01672445064097,0,0.965267924342065,0,0.996125800441708,0,0.0231341534133672,0,0.105522585102839,0
"07120","Capitán Luis Ángel Vidal",805,0,4315,0,0.130434782608696,0,0.973913043478261,0,0.947826086956522,0,0.718012422360248,0,0.279503105590062,0,0.0360248447204969,0
"07074","Reforma",12364,0,44829,0,0.0368812681979942,0,1.00372047880945,0,0.975250727919767,0,0.950905855710126,0,0.0595276609511485,0,0.218618570042058,0
"07075","Las Rosas",7216,0,28829,0,0.0802383592017738,0,0.984340354767184,0,0.803353658536585,0,0.792821507760532,0,0.207178492239468,0,0.0864745011086474,0
"07057","Motozintla",16588,0,76398,0,0.0701712081022426,0,0.988304798649626,0,0.92759826380516,0,0.897034000482276,0,0.101217747769472,0,0.0802387267904509,0
"07007","Amatenango del Valle",2527,0,11283,0,0.358527898694104,0,0.990898298377523,0,0.774040364068065,0,0.811238622872972,0,0.201424614166996,0,0.0526315789473684,0
"07111","Zinacantán",8972,0,45373,0,0.17866696388765,0,1.00345519393669,0,0.745207311636201,0,0.877396344181899,0,0.132189032545698,0,0.16941596076683,0
"07054","Mazatán",7763,0,28250,0,0.0591266263042638,0,0.994718536648203,0,0.883807806260466,0,0.897719953626175,0,0.107175061187685,0,0.242045600927476,0
"07076","Sabanilla",6579,0,29889,0,0.414044687642499,0,1.00911992704058,0,0.903784769721842,0,0.811673506611947,0,0.217510259917921,0,0.0589755281957744,0
"07081","Simojovel",10312,0,52935,0,0.306730023273856,0,1.02598913886734,0,0.96188906128782,0,0.84144685802948,0,0.195597362296354,0,0.172614429790535,0
"07063","Osumacinta",1038,0,3983,0,0.0761078998073218,0,0.994219653179191,0,0.993256262042389,0,0.955684007707129,0,0.0443159922928709,0,0.115606936416185,0
"07110","San Lucas",1816,0,7526,0,0.0859030837004405,0,0.983480176211454,0,0.990638766519824,0,0.917400881057269,0,0.0908590308370044,0,0.304515418502203,0
"07051","Mapastepec",12690,0,46130,0,0.0581560283687943,0,0.990307328605201,0,0.880929866036249,0,0.936249014972419,0,0.0672182821118991,0,0.134357762017336,0
"07070","El Porvenir",2400,0,12263,0,0.149583333333333,0,0.98875,0,0.934166666666667,0,0.89875,0,0.0975,0,0.0145833333333333,0
"07112","San Juan Cancuc",6957,0,37948,0,0.432082794307891,0,0.967802213597815,0,0.733793301710507,0,0.673566192324278,0,0.326146327439989,0,0.0425470748886014,0
"07050","La Libertad",1585,0,5232,0,0.0561514195583596,0,0.980441640378549,0,0.863722397476341,0,0.979179810725552,0,0.0182965299684543,0,0.151419558359621,0
"07022","Chalchihuitán",4792,0,21915,0,0.470575959933222,0,0.871661101836394,0,0.507929883138564,0,0.601627712854758,0,0.401919866444073,0,0.126252086811352,0
"07053","Mazapa de Madero",1691,0,7901,0,0.088113542282673,0,0.989946777054997,0,0.914251921939681,0,0.916026020106446,0,0.0851567120047309,0,0.0402128917800118,0
"07080","Siltepec",5202,0,25937,0,0.091118800461361,0,0.980584390618993,0,0.940984236831988,0,0.858323721645521,0,0.140907343329489,0,0.040561322568243,0
"07049","Larráinzar",5435,0,31259,0,0.233486660533579,0,1.08555657773689,0,1.03661453541858,0,1.02520699172033,0,0.0726770929162834,0,0.099540018399264,0
"07065","Palenque",33304,0,132265,0,0.106894066778765,0,0.989490751861638,0,0.9579329810233,0,0.952047802065818,0,0.0555789094403075,0,0.184212106653855,0
"07086","Suchiapa",6339,0,25627,0,0.0367565862123363,0,0.98706420571068,0,0.926802334753116,0,0.939107114686859,0,0.0627859283798706,0,0.259820160908661,0
"07062","Ostuacán",4486,0,18469,0,0.102318323673651,0,0.969237628176549,0,0.921310744538564,0,0.898127507802051,0,0.098974587605885,0,0.101872492197949,0
"07077","Salto de Agua",14610,0,64251,0,0.259206023271732,0,0.971937029431896,0,0.927789185489391,0,0.841273100616016,0,0.166598220396988,0,0.129158110882957,0
"07082","Sitalá",3213,0,15518,0,0.514472455648926,0,0.926859632741986,0,0.606286959228136,0,0.674447556800498,0,0.327419856831622,0,0.0746965452847806,0
