CVEGEO,municipio,entidad,composite,rank_composite,non_sampled,treated
17018,Temixco,Morelos,1.390255151795232,67,0,0
11005,Apaseo el Grande,Guanajuato,1.3889219797586294,68,0,0
30039,Coatzacoalcos,Veracruz de Ignacio de la Llave,1.387314123361391,69,0,0
21132,San Martín Texmelucan,Puebla,1.3721733562451248,70,0,0
19018,García,Nuevo León,1.3702974000025936,71,0,1
07101,Tuxtla Gutiérrez,Chiapas,1.3479220709639141,72,0,0
21015,Amozoc,Puebla,1.338240474810573,73,0,0
06002,Colima,Colima,1.3213033669360648,74,0,1
17008,Emiliano Zapata,Morelos,1.2814035707477265,75,0,0
15020,Coacalco de Berriozábal,México,1.2697217365332143,76,0,0
28022,Matamoros,Tamaulipas,1.247814229653346,77,0,0
12038,Zihuatanejo de Azueta,Guerrero,1.226040474232483,78,0,0
09006,Iztacalco,Ciudad de México,1.1765953583655422,79,0,0
19006,Apodaca,Nuevo León,1.1704567347242139,80,0,0
15091,Teoloyucan,México,1.1641326079040155,81,0,0
15108,Tultepec,México,1.163241059571779,82,0,0
09002,Azcapotzalco,Ciudad de México,1.1455286157205684,83,0,0
21156,Tehuacán,Puebla,1.124009893651212,84,0,1
09011,Tláhuac,Ciudad de México,1.1222801984320148,85,0,0
19021,General Escobedo,Nuevo León,1.1114192125163178,86,0,1
27005,Comalcalco,Tabasco,1.0934422063628189,87,0,0
24035,Soledad de Graciano Sánchez,San Luis Potosí,1.0712491529929231,88,0,0
07089,Tapachula,Chiapas,1.046994856786165,89,0,0
17029,Yautepec,Morelos,1.0310596381416819,90,0,0
25008,Elota,Sinaloa,1.0306658060205853,91,0,0
10005,Durango,Durango,1.02929411385425,92,0,0
09003,Coyoacán,Ciudad de México,1.0211288336352018,93,0,0
09016,Miguel Hidalgo,Ciudad de México,0.9993066715973402,94,0,0
16043,Jacona,Michoacán de Ocampo,0.9950757772957418,95,0,0
05035,Torreón,Coahuila de Zaragoza,0.9947703871957199,96,0,0
31050,Mérida,Yucatán,0.9692827840640988,97,0,1
30087,Xalapa,Veracruz de Ignacio de la Llave,0.9583392830608726,98,0,0
27002,Cárdenas,Tabasco,0.9441969475876641,99,0,0
11037,Silao de la Victoria,Guanajuato,0.9313662837208426,100,0,0
